loan_id,current_balance,interest_rate,payment_status,days_past_due,last_updated_at,servicer_name
LN-11394,720000,5.79,90+ DPD,90,2026-07-31,ServicerA
LN-11411,258000,8.2,90+ DPD,90,2026-03-09,ServicerB
LN-11428,150000,10.12,30+ DPD,15,2026-03-02,ServicerC
LN-11445,28000,8.37,90+ DPD,90,2026-03-28,ServicerB
LN-11462,56000,9.42,CURRENT,0,2026-02-04,ServicerC
LN-11479,30750,10.95,CURRENT,0,2026-07-18,ServicerB
LN-11496,186000,11.29,60+ DPD,45,2026-04-26,ServicerB
LN-11513,780000,9.35,30+ DPD,15,2026-08-15,ServicerB
LN-11530,258000,13.85,60+ DPD,60,2026-02-13,ServicerA
LN-11547,30000,10.55,CURRENT,0,2026-07-27,ServicerB
LN-11564,69000,10.37,90+ DPD,120,2026-02-13,ServicerC
LN-11581,190000,5.97,CURRENT,0,2026-08-17,ServicerC
LN-11598,12000,10.66,30+ DPD,15,2026-06-19,ServicerA
LN-11615,110000,5.76,90+ DPD,120,2026-05-27,ServicerA
LN-11632,55500,13.52,30+ DPD,30,2026-02-18,ServicerB
LN-11649,201000,15.89,CURRENT,0,2026-07-16,ServicerA
LN-11666,10500,7.82,CURRENT,0,2026-03-29,ServicerC
LN-11683,36000,15.65,60+ DPD,45,2026-07-31,ServicerC
LN-11700,123000,17.04,CURRENT,0,2026-03-19,ServicerA
LN-11717,33750,5.52,CURRENT,0,2026-07-22,ServicerA
LN-11734,480000,12.06,60+ DPD,45,2026-08-17,ServicerA
LN-11751,315000,16.46,CURRENT,0,2026-06-29,ServicerA
LN-11768,65000,10.25,60+ DPD,60,2026-06-06,ServicerC
LN-11785,57000,14.01,60+ DPD,60,2026-07-27,ServicerC
LN-11802,63750,5.12,30+ DPD,15,2026-02-27,ServicerC
LN-11819,84000,16.47,60+ DPD,60,2026-03-16,ServicerB
LN-11836,31500,15.45,CURRENT,0,2026-04-15,ServicerB
LN-11853,435000,5.77,CURRENT,0,2026-05-16,ServicerA
LN-11870,64000,10.05,CURRENT,0,2026-04-22,ServicerB
LN-11887,315000,11.17,30+ DPD,30,2026-07-29,ServicerA
LN-11904,90000,7.43,90+ DPD,120,2026-04-12,ServicerB
LN-11921,215000,16.87,CURRENT,0,2026-02-05,ServicerA
LN-11938,180000,16.03,30+ DPD,15,2026-04-23,ServicerC
LN-11955,145000,6.15,90+ DPD,90,2026-05-22,ServicerA
LN-11972,48750,11.63,90+ DPD,90,2026-07-25,ServicerC
LN-11989,207000,9.02,CURRENT,0,2026-05-31,ServicerB
LN-12006,111000,6.37,CURRENT,0,2026-07-27,ServicerC
LN-12023,54000,9.43,60+ DPD,60,2026-07-16,ServicerA
LN-12040,19500,14.85,90+ DPD,120,2026-07-22,ServicerB
LN-12057,405000,7.96,30+ DPD,15,2026-03-12,ServicerB
LN-12074,547500,13.01,CURRENT,0,2026-02-11,ServicerB
LN-12091,162500,10.18,CURRENT,0,2026-02-15,ServicerA
LN-12108,345000,15.74,30+ DPD,15,2026-04-25,ServicerA
LN-12125,52000,16.07,CURRENT,0,2026-04-12,ServicerA
LN-12142,40000,11.33,60+ DPD,45,2026-08-04,ServicerA
LN-12159,15500,14.56,60+ DPD,45,2026-04-21,ServicerA
LN-12176,19000,13,60+ DPD,45,2026-08-12,ServicerC
LN-12193,132000,6.94,30+ DPD,30,2026-02-19,ServicerC
LN-12210,15000,10.42,CURRENT,0,2026-07-18,ServicerC
LN-12227,39500,5.8,CURRENT,0,2026-05-09,ServicerA
LN-12244,279000,14.51,30+ DPD,15,2026-08-10,ServicerB
LN-12261,200000,17.98,60+ DPD,45,2026-02-06,ServicerC
LN-12278,34500,7.42,30+ DPD,15,2026-03-04,ServicerA
LN-12295,35000,8.24,30+ DPD,30,2026-04-05,ServicerB
LN-12312,51000,12.77,CURRENT,0,2026-08-11,ServicerC
LN-12329,660000,16.82,CURRENT,0,2026-08-10,ServicerB
LN-12346,144000,15.59,60+ DPD,60,2026-06-22,ServicerC
LN-12363,13000,12.51,CURRENT,0,2026-04-20,ServicerC
LN-12380,890000,13.71,CURRENT,0,2026-07-12,ServicerB
LN-12397,255000,17.72,30+ DPD,15,2026-07-23,ServicerC
LN-12414,43000,8.51,60+ DPD,45,2026-05-27,ServicerA
LN-12431,127500,8.81,30+ DPD,15,2026-03-23,ServicerC
LN-12448,15000,5.08,60+ DPD,60,2026-04-07,ServicerA
LN-12465,172000,7.83,60+ DPD,45,2026-08-09,ServicerB
LN-12482,660000,12.46,30+ DPD,15,2026-03-27,ServicerC
LN-12499,547500,9.14,CURRENT,0,2026-06-08,ServicerA
LN-12516,690000,9.55,90+ DPD,120,2026-02-14,ServicerA
LN-12533,265000,10.9,30+ DPD,30,2026-03-27,ServicerB
LN-12550,175000,9.84,CURRENT,0,2026-03-01,ServicerA
LN-12567,120000,16.33,60+ DPD,60,2026-07-20,ServicerA
LN-12584,435000,12.72,90+ DPD,90,2026-07-12,ServicerA
LN-12601,264000,17.89,60+ DPD,60,2026-03-17,ServicerA
LN-12618,36000,8.97,60+ DPD,45,2026-05-02,ServicerC
LN-12635,9500,14.71,CURRENT,0,2026-02-04,ServicerB
LN-12652,24000,14.59,CURRENT,0,2026-04-02,ServicerB
LN-12669,37500,7.91,CURRENT,0,2026-02-27,ServicerC
LN-12686,36000,5.46,30+ DPD,15,2026-07-15,ServicerA
LN-12703,270000,10.32,CURRENT,0,2026-03-27,ServicerC
LN-12720,26250,7.81,30+ DPD,15,2026-07-09,ServicerB
LN-12737,50000,14.34,60+ DPD,45,2026-05-13,ServicerB
LN-12754,860000,16.76,90+ DPD,120,2026-07-31,ServicerB
LN-12771,17250,16.25,CURRENT,0,2026-03-29,ServicerC
LN-12788,770000,12.03,90+ DPD,90,2026-07-13,ServicerB
LN-12805,78000,10.21,30+ DPD,30,2026-08-15,ServicerB
LN-12822,47250,7.78,30+ DPD,15,2026-08-02,ServicerC
LN-12839,33750,11.56,CURRENT,0,2026-06-29,ServicerA
LN-12856,33750,11.25,CURRENT,0,2026-05-28,ServicerA
LN-12873,103500,6.63,90+ DPD,120,2026-07-02,ServicerB
LN-12890,34500,15.84,60+ DPD,45,2026-05-19,ServicerC
LN-12907,90000,5.11,CURRENT,0,2026-06-05,ServicerB
LN-12924,23000,11.48,90+ DPD,120,2026-04-05,ServicerA
LN-12941,20000,11.62,60+ DPD,60,2026-03-29,ServicerA
LN-12958,53000,17.01,CURRENT,0,2026-02-12,ServicerC
LN-12975,152500,10.97,CURRENT,0,2026-08-11,ServicerC
LN-12992,90000,17.47,CURRENT,0,2026-04-13,ServicerC
LN-13009,187500,17.74,30+ DPD,30,2026-04-19,ServicerB
LN-13026,750000,8.17,30+ DPD,30,2026-05-18,ServicerC
LN-13043,70000,8.7,90+ DPD,90,2026-04-28,ServicerA
LN-13060,120000,7.56,60+ DPD,45,2026-05-18,ServicerA
LN-13077,425000,10.78,90+ DPD,90,2026-02-26,ServicerA
LN-13094,90000,12.11,90+ DPD,90,2026-05-28,ServicerB
LN-13111,27000,7.53,30+ DPD,15,2026-06-07,ServicerA
LN-13128,667500,14.63,60+ DPD,45,2026-02-05,ServicerA
LN-13145,60000,12.29,CURRENT,0,2026-02-03,ServicerB
LN-13162,17250,15.82,90+ DPD,90,2026-02-19,ServicerC
LN-13179,410000,5.69,30+ DPD,15,2026-05-25,ServicerA
LN-13196,480000,16.18,30+ DPD,30,2026-06-02,ServicerC
LN-13213,730000,16.02,CURRENT,0,2026-05-29,ServicerC
LN-13230,264000,16.65,90+ DPD,120,2026-06-26,ServicerB
LN-13247,115500,9.81,60+ DPD,45,2026-06-15,ServicerC
LN-13264,440000,8.99,90+ DPD,120,2026-02-04,ServicerC
LN-13281,760000,14.99,60+ DPD,45,2026-05-03,ServicerB
LN-13298,128000,8.31,CURRENT,0,2026-02-15,ServicerB
LN-13315,23000,14,30+ DPD,15,2026-03-05,ServicerA
LN-13332,260000,8.48,CURRENT,0,2026-03-28,ServicerB
LN-13349,177000,11.7,CURRENT,0,2026-07-03,ServicerC
LN-13366,18000,16.5,90+ DPD,90,2026-03-24,ServicerB
LN-13383,32500,6.3,60+ DPD,60,2026-05-03,ServicerB
LN-13400,267000,8.27,60+ DPD,45,2026-02-22,ServicerA
LN-13417,188000,10.75,60+ DPD,60,2026-03-17,ServicerC
LN-13434,126000,13.98,CURRENT,0,2026-04-05,ServicerB
LN-13451,25000,17.03,90+ DPD,90,2026-02-17,ServicerB
LN-13468,160000,5.89,90+ DPD,120,2026-04-27,ServicerA
LN-13485,105000,11.72,CURRENT,0,2026-05-01,ServicerB
LN-13502,457500,7.45,CURRENT,0,2026-03-03,ServicerB
LN-13519,102500,7.65,CURRENT,0,2026-07-24,ServicerA
LN-13536,255000,7.26,CURRENT,0,2026-02-24,ServicerA
LN-13553,145000,5.88,60+ DPD,60,2026-06-04,ServicerC
LN-13570,15000,16.92,60+ DPD,60,2026-05-30,ServicerC
LN-13587,800000,11.09,60+ DPD,45,2026-02-06,ServicerB
LN-13604,124000,11.62,CURRENT,0,2026-02-27,ServicerA
LN-13621,380000,17.49,CURRENT,0,2026-03-14,ServicerA
LN-13638,20000,15.4,CURRENT,0,2026-02-04,ServicerA
LN-13655,160000,8.56,CURRENT,0,2026-02-07,ServicerB
LN-13672,255000,15.54,90+ DPD,90,2026-04-26,ServicerB
LN-13689,135000,13.57,CURRENT,0,2026-07-25,ServicerB
LN-13706,27000,12.89,90+ DPD,120,2026-02-14,ServicerC
LN-13723,38250,11.04,90+ DPD,120,2026-03-28,ServicerC
LN-13740,517500,17.99,30+ DPD,15,2026-07-18,ServicerB
LN-13757,46000,13.37,CURRENT,0,2026-06-08,ServicerB
LN-13774,159000,6.65,90+ DPD,90,2026-05-12,ServicerA
LN-13791,72000,11.26,90+ DPD,90,2026-05-26,ServicerC
LN-13808,28000,5.72,CURRENT,0,2026-02-08,ServicerC
LN-13825,216000,11.22,30+ DPD,30,2026-04-12,ServicerC
LN-13842,195000,11.59,60+ DPD,60,2026-08-17,ServicerB
LN-13859,250000,16.81,60+ DPD,60,2026-03-16,ServicerB
LN-13876,39000,7.55,90+ DPD,90,2026-05-23,ServicerA
LN-13893,207500,16.41,CURRENT,0,2026-02-20,ServicerC
LN-13910,18750,7.23,90+ DPD,90,2026-06-02,ServicerB
LN-13927,204000,17.92,30+ DPD,30,2026-08-06,ServicerA
LN-13944,67500,16.04,30+ DPD,30,2026-07-27,ServicerB
LN-13961,640000,7.2,CURRENT,0,2026-03-02,ServicerA
LN-13978,380000,10.93,CURRENT,0,2026-03-01,ServicerB
LN-13995,577500,13.1,60+ DPD,60,2026-05-23,ServicerB
LN-14012,75000,7.15,90+ DPD,90,2026-04-02,ServicerC
LN-14029,495000,5.47,CURRENT,0,2026-05-13,ServicerA
LN-14046,111000,12.76,30+ DPD,15,2026-08-14,ServicerA
LN-14063,258000,10.8,CURRENT,0,2026-02-19,ServicerB
LN-14080,111000,5.49,90+ DPD,120,2026-02-20,ServicerA
LN-14097,40500,10.68,CURRENT,0,2026-04-07,ServicerC
LN-14114,5000,5.78,60+ DPD,45,2026-05-01,ServicerC
LN-14131,940000,9.61,30+ DPD,15,2026-04-05,ServicerA
LN-14148,237000,8.62,30+ DPD,15,2026-03-05,ServicerC
LN-14165,6750,14.33,60+ DPD,60,2026-03-15,ServicerB
LN-14182,62000,15.38,60+ DPD,60,2026-04-01,ServicerB
LN-14199,670000,9.58,90+ DPD,90,2026-03-05,ServicerC
LN-14216,150000,17.38,90+ DPD,120,2026-04-27,ServicerA
LN-14233,52000,13.58,CURRENT,0,2026-05-28,ServicerA
LN-14250,15000,8.73,CURRENT,0,2026-05-25,ServicerA
LN-14267,97500,5.11,CURRENT,0,2026-03-08,ServicerB
LN-14284,17000,13.25,90+ DPD,120,2026-06-13,ServicerA
LN-14301,255000,17.13,90+ DPD,90,2026-05-12,ServicerB
LN-14318,5250,7.43,CURRENT,0,2026-06-12,ServicerA
LN-14335,860000,8.94,30+ DPD,30,2026-03-25,ServicerC
LN-14352,60000,17.41,CURRENT,0,2026-07-22,ServicerA
LN-14369,4000,9.33,CURRENT,0,2026-02-12,ServicerA
LN-14386,42000,11.56,CURRENT,0,2026-07-04,ServicerB
LN-14403,295000,10.99,60+ DPD,45,2026-03-31,ServicerB
LN-14420,170000,5.91,90+ DPD,90,2026-03-28,ServicerA
LN-14437,405000,9.98,30+ DPD,15,2026-06-20,ServicerB
LN-14454,27750,15.15,30+ DPD,30,2026-02-02,ServicerA
LN-14471,28500,10.8,60+ DPD,45,2026-05-01,ServicerC
LN-14488,43000,16.81,30+ DPD,15,2026-06-15,ServicerB
LN-14505,48000,7.53,CURRENT,0,2026-04-16,ServicerA
LN-14522,85000,15.65,CURRENT,0,2026-04-19,ServicerC
LN-14539,127500,17.18,CURRENT,0,2026-05-07,ServicerC
LN-14556,275000,5.22,CURRENT,0,2026-04-06,ServicerC
LN-14573,37500,11.84,CURRENT,0,2026-08-15,ServicerB
LN-14590,234000,11.49,30+ DPD,30,2026-06-25,ServicerA
LN-14607,144000,12.51,CURRENT,0,2026-02-07,ServicerA
LN-14624,44250,11.58,90+ DPD,90,2026-05-18,ServicerB
LN-14641,30000,12.14,CURRENT,0,2026-03-22,ServicerA
LN-14658,154000,16.66,CURRENT,0,2026-03-31,ServicerA
LN-14675,940000,7.68,30+ DPD,15,2026-02-09,ServicerA
LN-14692,76500,17.69,60+ DPD,45,2026-07-17,ServicerA
LN-14709,155000,9.1,60+ DPD,45,2026-02-12,ServicerB
LN-14726,36000,17.88,30+ DPD,30,2026-05-26,ServicerB
LN-14743,51000,14.51,30+ DPD,30,2026-02-06,ServicerB
LN-14760,25000,8.33,60+ DPD,60,2026-03-30,ServicerB
LN-14777,270000,7.14,90+ DPD,90,2026-07-14,ServicerB
LN-14794,33000,15.21,CURRENT,0,2026-02-26,ServicerB
LN-14811,212500,10.57,CURRENT,0,2026-04-08,ServicerB
LN-14828,69000,16.47,CURRENT,0,2026-03-15,ServicerA
LN-14845,435000,11.2,60+ DPD,45,2026-03-10,ServicerC
LN-14862,385000,14.86,30+ DPD,15,2026-02-26,ServicerC
LN-14879,88000,14.78,CURRENT,0,2026-04-24,ServicerB
LN-14896,202500,13.94,60+ DPD,60,2026-03-17,ServicerC
LN-14913,580000,12.95,CURRENT,0,2026-08-19,ServicerA
LN-14930,24000,17.8,60+ DPD,60,2026-05-12,ServicerC
LN-14947,57000,16.52,CURRENT,0,2026-07-02,ServicerA
LN-14964,94000,9.67,CURRENT,0,2026-06-08,ServicerA
LN-14981,170000,11.64,30+ DPD,15,2026-07-20,ServicerA
LN-14998,95000,16.07,60+ DPD,45,2026-05-05,ServicerB
LN-11200,187500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11201,18750,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11202,50000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11203,250000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11204,50000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11205,37500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11206,12500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11207,250000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11208,50000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11209,125000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11210,125000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11211,12500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11212,25000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11213,62500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11214,125000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11215,50000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11216,50000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11217,25000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11218,62500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11219,50000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11220,37500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11221,25000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11222,75000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11223,125000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11224,50000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11225,37500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11226,125000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11227,50000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11228,125000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11229,12500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11230,25000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11231,75000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11232,187500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11233,62500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11234,75000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11235,250000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11236,250000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11237,18750,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11238,25000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11239,18750,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11240,37500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11241,25000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11242,187500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11243,250000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11244,25000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11245,62500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11246,187500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11247,25000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11248,12500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11249,250000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11250,187500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11251,125000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11252,37500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11253,12500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11254,18750,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11255,250000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11256,187500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11257,75000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11258,75000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11259,187500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11260,37500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11261,250000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11262,50000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11263,250000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11264,12500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11265,25000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11266,62500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11267,25000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11268,50000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11269,25000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11270,12500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11271,18750,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11272,187500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11273,12500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11274,62500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11275,187500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11276,37500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11277,37500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11278,187500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11279,25000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11280,75000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11281,62500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11282,50000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11283,37500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11284,187500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11285,187500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11286,50000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11287,12500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11288,50000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11289,37500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11290,12500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11291,37500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11292,62500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11293,25000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11294,18750,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11295,62500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11296,62500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11297,250000,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11298,187500,9.75,30+ DPD,30,2026-08-25,ServicerB
LN-11299,75000,9.75,30+ DPD,30,2026-08-25,ServicerB
