loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-10010,BR-21884,EDUCATION,2021-01-05,2027-01-05,50000,30500,9.7,72,PB,WORKING_CAPITAL,C,4-6,MEDIUM,30+ DPD,15,ServicerC,2026-01-19,2026-02-05,MISSING,ORIGINATION_SYSTEM
LN-10011,BR-21843,BUSINESS,2023-03-09,2038-03-09,50000,9500,13.08,180,MH,DEBT_CONSOLIDATION,C,4-6,HIGH,CURRENT,0,ServicerA,2026-05-17,2026-06-10,PENDING,MANUAL_UPLOAD
LN-10012,BR-22619,AUTO,2021-06-15,2028-06-15,250000,195000,5.4,84,WB,HOME_IMPROVEMENT,D,4-6,VERY_HIGH,60+ DPD,45,ServicerC,2026-07-24,2026-04-27,AVAILABLE,MANUAL_UPLOAD
LN-10013,BR-21906,BUSINESS,2023-10-31,2024-10-31,750000,142500,16.63,12,WB,HOME_IMPROVEMENT,C,4-6,LOW,30+ DPD,30,ServicerA,2025-06-09,2026-07-16,MISSING,ORIGINATION_SYSTEM
LN-10014,BR-22352,PERSONAL,2023-07-20,2029-07-20,1000000,730000,5.93,72,PB,DEBT_CONSOLIDATION,B,1-3,LOW,CURRENT,0,ServicerA,2025-07-30,2026-08-16,AVAILABLE,SERVICING_SYSTEM
LN-10015,BR-20681,HOME,2020-10-23,2050-10-23,750000,585000,13.01,360,DL,EDUCATION,E,7-10,HIGH,30+ DPD,15,ServicerC,2026-07-29,2026-02-13,PENDING,ORIGINATION_SYSTEM
LN-10016,BR-23980,HOME,2021-04-28,2041-04-28,150000,81000,6.42,240,HR,VEHICLE,A,1-3,VERY_HIGH,60+ DPD,60,ServicerC,2025-07-02,2026-05-16,AVAILABLE,MANUAL_UPLOAD
LN-10017,BR-21209,PERSONAL,2025-04-18,2030-04-18,250000,217500,12.36,60,MH,WORKING_CAPITAL,B,1-3,HIGH,60+ DPD,45,ServicerC,2025-07-29,2026-06-28,PENDING,MANUAL_UPLOAD
LN-10018,BR-22048,PERSONAL,2022-05-14,2024-05-14,750000,37500,13.66,24,BR,WORKING_CAPITAL,E,<1,LOW,90+ DPD,90,ServicerA,2026-04-26,2026-07-24,PENDING,MANUAL_UPLOAD
LN-10019,BR-21369,AUTO,2018-10-23,2028-10-23,750000,450000,14.1,120,WB,DEBT_CONSOLIDATION,E,7-10,HIGH,30+ DPD,15,ServicerB,2025-09-27,2026-02-01,AVAILABLE,SERVICING_SYSTEM
LN-10020,BR-21191,HOME,2023-05-31,2024-05-31,50000,27500,17.57,12,BR,DEBT_CONSOLIDATION,C,4-6,MEDIUM,CURRENT,0,ServicerC,2026-01-08,2026-02-06,AVAILABLE,MANUAL_UPLOAD
LN-10021,BR-23781,EDUCATION,2020-07-01,2026-07-01,75000,46500,8.63,72,MP,DEBT_CONSOLIDATION,B,7-10,HIGH,CURRENT,0,ServicerC,2025-05-06,2026-05-29,MISSING,MANUAL_UPLOAD
LN-10022,BR-23166,HOME,2024-09-15,2030-09-15,750000,300000,10.35,72,RJ,WORKING_CAPITAL,C,7-10,VERY_HIGH,CURRENT,0,ServicerA,2025-05-05,2026-02-18,MISSING,ORIGINATION_SYSTEM
LN-10023,BR-20526,EDUCATION,2020-10-12,2021-10-12,250000,195000,7.23,12,KA,DEBT_CONSOLIDATION,B,<1,MEDIUM,30+ DPD,15,ServicerB,2026-07-12,2026-08-08,AVAILABLE,MANUAL_UPLOAD
LN-10024,BR-23326,BUSINESS,2021-04-13,2023-04-13,500000,150000,8.79,24,RJ,DEBT_CONSOLIDATION,D,1-3,MEDIUM,60+ DPD,45,ServicerA,2026-06-29,2026-05-20,AVAILABLE,SERVICING_SYSTEM
LN-10025,BR-20580,EDUCATION,2023-06-26,2024-06-26,75000,39000,10.23,12,TS,VEHICLE,B,<1,VERY_HIGH,30+ DPD,15,ServicerA,2025-07-09,2026-03-04,AVAILABLE,MANUAL_UPLOAD
LN-10026,BR-20189,AUTO,2020-01-10,2030-01-10,300000,120000,15.45,120,TS,DEBT_CONSOLIDATION,A,1-3,LOW,30+ DPD,30,ServicerA,2025-09-14,2026-06-23,AVAILABLE,ORIGINATION_SYSTEM
LN-10027,BR-22194,BUSINESS,2022-02-28,2027-02-28,50000,44500,17.84,60,WB,WORKING_CAPITAL,D,<1,VERY_HIGH,CURRENT,0,ServicerC,2025-04-28,2026-08-11,PENDING,ORIGINATION_SYSTEM
LN-10028,BR-20561,AUTO,2023-02-12,2025-02-12,100000,58000,14.03,24,RJ,VEHICLE,B,7-10,HIGH,90+ DPD,120,ServicerC,2025-03-08,2026-03-25,MISSING,SERVICING_SYSTEM
LN-10029,BR-21623,EDUCATION,2018-01-30,2028-01-30,1000000,460000,11.83,120,TN,DEBT_CONSOLIDATION,C,<1,LOW,90+ DPD,120,ServicerB,2026-03-14,2026-05-08,AVAILABLE,ORIGINATION_SYSTEM
LN-10030,BR-22450,PERSONAL,2020-10-13,2025-10-13,75000,33000,5.75,60,AP,VEHICLE,C,<1,VERY_HIGH,30+ DPD,30,ServicerC,2025-01-07,2026-03-24,MISSING,ORIGINATION_SYSTEM
LN-10031,BR-20222,PERSONAL,2023-11-13,2038-11-13,750000,525000,6.82,180,UP,EDUCATION,A,4-6,MEDIUM,90+ DPD,90,ServicerC,2026-08-04,2026-04-15,AVAILABLE,MANUAL_UPLOAD
LN-10032,BR-23458,PERSONAL,2020-02-19,2025-02-19,50000,30000,17.25,60,TS,HOME_IMPROVEMENT,D,7-10,VERY_HIGH,90+ DPD,90,ServicerB,2026-04-07,2026-07-19,AVAILABLE,MANUAL_UPLOAD
LN-10033,BR-20227,EDUCATION,2018-12-04,2033-12-04,75000,70500,15.96,180,DL,VEHICLE,E,10+,VERY_HIGH,60+ DPD,60,ServicerC,2025-12-27,2026-08-12,MISSING,ORIGINATION_SYSTEM
LN-10034,BR-23739,HOME,2019-01-20,2020-01-20,200000,102000,13.08,12,UP,EDUCATION,A,10+,MEDIUM,CURRENT,0,ServicerB,2025-02-01,2026-03-11,PENDING,ORIGINATION_SYSTEM
LN-10035,BR-21582,BUSINESS,2020-12-21,2035-12-21,50000,18000,5.33,180,MP,EDUCATION,B,<1,HIGH,CURRENT,0,ServicerA,2025-08-04,2026-03-14,PENDING,ORIGINATION_SYSTEM
LN-10036,BR-20892,BUSINESS,2022-12-12,2028-12-12,300000,183000,16.59,72,WB,WORKING_CAPITAL,E,<1,MEDIUM,CURRENT,0,ServicerC,2025-12-15,2026-02-03,AVAILABLE,ORIGINATION_SYSTEM
LN-10037,BR-21519,HOME,2019-08-26,2026-08-26,500000,75000,6.29,84,TS,EDUCATION,C,10+,LOW,CURRENT,0,ServicerA,2026-06-17,2026-08-16,AVAILABLE,MANUAL_UPLOAD
LN-10038,BR-23630,AUTO,2022-04-13,2029-04-13,50000,5500,8.15,84,GJ,VEHICLE,A,7-10,MEDIUM,60+ DPD,60,ServicerB,2026-08-04,2026-02-15,PENDING,ORIGINATION_SYSTEM
LN-10039,BR-23757,BUSINESS,2025-01-03,2030-01-03,1000000,600000,14.92,60,MP,DEBT_CONSOLIDATION,D,7-10,VERY_HIGH,CURRENT,0,ServicerB,2025-04-25,2026-07-28,PENDING,MANUAL_UPLOAD
LN-10040,BR-22626,AUTO,2023-09-07,2025-09-07,50000,4000,5.41,24,AP,HOME_IMPROVEMENT,B,10+,MEDIUM,90+ DPD,120,ServicerA,2025-10-03,2026-06-18,MISSING,SERVICING_SYSTEM
LN-10041,BR-20070,AUTO,2025-04-26,2027-04-26,200000,154000,11.38,24,DL,DEBT_CONSOLIDATION,C,1-3,MEDIUM,CURRENT,0,ServicerB,2026-08-13,2026-07-21,MISSING,SERVICING_SYSTEM
LN-10042,BR-20676,BUSINESS,2023-03-30,2033-03-30,75000,51000,12.1,120,GJ,EDUCATION,C,10+,HIGH,CURRENT,0,ServicerC,2026-02-12,2026-05-01,AVAILABLE,MANUAL_UPLOAD
LN-10043,BR-23204,PERSONAL,2023-02-25,2025-02-25,500000,305000,5.63,24,AP,EDUCATION,E,<1,LOW,60+ DPD,60,ServicerC,2025-04-07,2026-03-24,MISSING,ORIGINATION_SYSTEM
LN-10044,BR-20449,HOME,2025-02-28,2040-02-28,300000,276000,5.88,180,TN,EDUCATION,C,10+,HIGH,60+ DPD,45,ServicerA,2025-07-19,2026-03-24,AVAILABLE,MANUAL_UPLOAD
LN-10045,BR-21143,PERSONAL,2018-12-11,2019-12-11,300000,69000,5.69,12,PB,WORKING_CAPITAL,B,<1,LOW,CURRENT,0,ServicerA,2025-02-14,2026-02-13,AVAILABLE,MANUAL_UPLOAD
LN-10046,BR-23514,AUTO,2021-08-05,2026-08-05,500000,110000,16.82,60,WB,HOME_IMPROVEMENT,C,10+,LOW,CURRENT,0,ServicerA,2026-06-24,2026-08-16,PENDING,MANUAL_UPLOAD
LN-10047,BR-23766,BUSINESS,2025-02-25,2040-02-25,250000,45000,8.98,180,KL,VEHICLE,A,<1,VERY_HIGH,90+ DPD,90,ServicerA,2026-04-16,2026-03-03,PENDING,SERVICING_SYSTEM
LN-10048,BR-21010,HOME,2022-11-05,2029-11-05,750000,675000,17.25,84,TS,WORKING_CAPITAL,D,<1,HIGH,CURRENT,0,ServicerA,2026-01-20,2026-06-24,AVAILABLE,ORIGINATION_SYSTEM
LN-10049,BR-23361,BUSINESS,2021-12-07,2024-12-07,250000,230000,12.96,36,TS,DEBT_CONSOLIDATION,A,7-10,HIGH,CURRENT,0,ServicerC,2026-06-09,2026-07-01,PENDING,ORIGINATION_SYSTEM
LN-10050,BR-20708,AUTO,2018-08-23,2023-08-23,750000,67500,13.29,60,KL,HOME_IMPROVEMENT,E,1-3,LOW,90+ DPD,90,ServicerA,2025-06-19,2026-02-23,MISSING,SERVICING_SYSTEM
LN-10051,BR-21617,BUSINESS,2022-07-31,2024-07-31,300000,273000,11.54,24,RJ,DEBT_CONSOLIDATION,C,1-3,HIGH,90+ DPD,90,ServicerB,2026-06-21,2026-03-01,PENDING,ORIGINATION_SYSTEM
LN-10052,BR-20054,AUTO,2021-09-06,2025-09-06,75000,60000,7.05,48,KA,WORKING_CAPITAL,A,4-6,HIGH,CURRENT,0,ServicerC,2025-06-07,2026-06-18,AVAILABLE,ORIGINATION_SYSTEM
LN-10053,BR-20870,EDUCATION,2023-09-11,2027-09-11,1000000,570000,14.55,48,MH,EDUCATION,E,7-10,LOW,CURRENT,0,ServicerB,2026-07-12,2026-08-06,MISSING,ORIGINATION_SYSTEM
LN-10054,BR-20777,BUSINESS,2018-10-11,2023-10-11,200000,164000,16.48,60,MP,VEHICLE,C,4-6,MEDIUM,30+ DPD,30,ServicerB,2026-03-03,2026-06-29,MISSING,MANUAL_UPLOAD
LN-10055,BR-22789,EDUCATION,2019-10-19,2034-10-19,150000,43500,11.54,180,BR,EDUCATION,D,7-10,LOW,CURRENT,0,ServicerC,2025-08-26,2026-03-19,AVAILABLE,MANUAL_UPLOAD
LN-10056,BR-20730,PERSONAL,2021-05-04,2031-05-04,1000000,930000,15.82,120,BR,WORKING_CAPITAL,B,<1,MEDIUM,CURRENT,0,ServicerC,2026-06-17,2026-06-04,PENDING,ORIGINATION_SYSTEM
LN-10057,BR-21043,PERSONAL,2024-09-24,2034-09-24,200000,44000,15.21,120,WB,WORKING_CAPITAL,E,<1,MEDIUM,90+ DPD,120,ServicerC,2026-07-15,2026-03-18,AVAILABLE,ORIGINATION_SYSTEM
LN-10058,BR-21887,AUTO,2018-12-27,2020-12-27,750000,712500,7.84,24,RJ,EDUCATION,A,4-6,HIGH,30+ DPD,30,ServicerB,2025-04-09,2026-05-30,PENDING,MANUAL_UPLOAD
LN-10059,BR-22638,AUTO,2019-12-16,2025-12-16,75000,34500,16.78,72,TS,DEBT_CONSOLIDATION,A,<1,MEDIUM,CURRENT,0,ServicerA,2026-04-27,2026-02-03,PENDING,ORIGINATION_SYSTEM
LN-10060,BR-23910,BUSINESS,2025-06-26,2026-06-26,500000,180000,14.59,12,TN,HOME_IMPROVEMENT,A,<1,VERY_HIGH,60+ DPD,60,ServicerB,2025-10-26,2026-03-30,MISSING,SERVICING_SYSTEM
LN-10061,BR-22568,AUTO,2023-02-08,2026-02-08,1000000,90000,7.93,36,MP,WORKING_CAPITAL,A,7-10,VERY_HIGH,60+ DPD,60,ServicerC,2025-02-04,2026-05-02,PENDING,MANUAL_UPLOAD
LN-10062,BR-22097,PERSONAL,2022-07-15,2024-07-15,100000,49000,13.11,24,TN,VEHICLE,B,10+,MEDIUM,60+ DPD,45,ServicerA,2025-07-05,2026-07-01,AVAILABLE,ORIGINATION_SYSTEM
LN-10063,BR-21105,EDUCATION,2021-10-15,2025-10-15,50000,10000,11.55,48,HR,VEHICLE,B,7-10,HIGH,CURRENT,0,ServicerA,2025-11-21,2026-04-21,AVAILABLE,SERVICING_SYSTEM
LN-10064,BR-23471,BUSINESS,2018-09-27,2025-09-27,750000,202500,12.53,84,PB,HOME_IMPROVEMENT,B,<1,MEDIUM,60+ DPD,45,ServicerB,2026-01-20,2026-05-21,MISSING,SERVICING_SYSTEM
LN-10065,BR-20720,PERSONAL,2024-07-03,2039-07-03,50000,15500,9.78,180,UP,DEBT_CONSOLIDATION,C,<1,MEDIUM,30+ DPD,15,ServicerC,2025-05-23,2026-04-30,AVAILABLE,MANUAL_UPLOAD
LN-10066,BR-23968,PERSONAL,2024-10-31,2039-10-31,50000,21500,11.51,180,GJ,VEHICLE,C,1-3,MEDIUM,60+ DPD,60,ServicerA,2025-10-31,2026-02-24,PENDING,MANUAL_UPLOAD
LN-10067,BR-23857,EDUCATION,2018-10-16,2024-10-16,150000,49500,7.37,72,HR,HOME_IMPROVEMENT,E,7-10,MEDIUM,90+ DPD,120,ServicerC,2026-05-09,2026-03-29,MISSING,MANUAL_UPLOAD
LN-10068,BR-22792,EDUCATION,2023-08-13,2053-08-13,250000,117500,14.47,360,KL,VEHICLE,D,<1,HIGH,CURRENT,0,ServicerB,2026-03-06,2026-08-15,PENDING,ORIGINATION_SYSTEM
LN-10069,BR-21040,EDUCATION,2024-01-27,2030-01-27,300000,240000,14,72,KA,HOME_IMPROVEMENT,A,7-10,LOW,30+ DPD,30,ServicerB,2025-06-04,2026-07-15,MISSING,ORIGINATION_SYSTEM
LN-10070,BR-20168,EDUCATION,2021-06-28,2023-06-28,250000,22500,17.76,24,KA,EDUCATION,A,1-3,VERY_HIGH,30+ DPD,15,ServicerC,2025-05-28,2026-07-31,MISSING,MANUAL_UPLOAD
LN-10071,BR-21231,HOME,2020-03-13,2027-03-13,250000,87500,10.3,84,TS,VEHICLE,D,4-6,HIGH,90+ DPD,120,ServicerA,2025-07-06,2026-03-26,PENDING,SERVICING_SYSTEM
LN-10072,BR-20469,BUSINESS,2020-07-14,2026-07-14,750000,157500,15.42,72,MP,VEHICLE,A,1-3,MEDIUM,30+ DPD,30,ServicerB,2026-06-01,2026-08-13,AVAILABLE,MANUAL_UPLOAD
LN-10073,BR-22400,PERSONAL,2018-11-05,2024-11-05,75000,4500,13.56,72,AP,DEBT_CONSOLIDATION,B,10+,HIGH,CURRENT,0,ServicerC,2025-07-19,2026-08-08,MISSING,ORIGINATION_SYSTEM
LN-10074,BR-23434,AUTO,2024-10-15,2029-10-15,100000,41000,16.18,60,TN,HOME_IMPROVEMENT,C,10+,MEDIUM,60+ DPD,60,ServicerC,2025-11-30,2026-05-24,MISSING,MANUAL_UPLOAD
LN-10075,BR-20964,PERSONAL,2025-04-15,2055-04-15,150000,117000,9.4,360,UP,WORKING_CAPITAL,C,1-3,HIGH,30+ DPD,15,ServicerC,2026-03-03,2026-02-16,AVAILABLE,SERVICING_SYSTEM
LN-10076,BR-23999,AUTO,2025-01-04,2055-01-04,750000,345000,7.39,360,TN,DEBT_CONSOLIDATION,A,1-3,LOW,CURRENT,0,ServicerC,2025-10-21,2026-06-05,AVAILABLE,ORIGINATION_SYSTEM
LN-10077,BR-20217,HOME,2023-01-21,2033-01-21,100000,30000,14.09,120,GJ,HOME_IMPROVEMENT,C,4-6,VERY_HIGH,CURRENT,0,ServicerC,2025-03-16,2026-06-29,MISSING,ORIGINATION_SYSTEM
LN-10078,BR-20882,PERSONAL,2018-09-25,2019-09-25,1000000,760000,11.65,12,BR,WORKING_CAPITAL,C,4-6,MEDIUM,CURRENT,0,ServicerB,2025-08-12,2026-05-15,AVAILABLE,MANUAL_UPLOAD
LN-10079,BR-20809,PERSONAL,2018-04-19,2028-04-19,200000,30000,8.1,120,RJ,EDUCATION,A,<1,LOW,CURRENT,0,ServicerB,2026-04-23,2026-07-31,MISSING,MANUAL_UPLOAD
LN-10080,BR-22557,HOME,2023-12-15,2026-12-15,150000,129000,7.67,36,DL,HOME_IMPROVEMENT,A,<1,HIGH,30+ DPD,30,ServicerA,2025-07-12,2026-06-03,PENDING,SERVICING_SYSTEM
LN-10081,BR-23781,BUSINESS,2023-10-26,2024-10-26,300000,186000,5.16,12,TN,HOME_IMPROVEMENT,D,<1,MEDIUM,60+ DPD,60,ServicerC,2025-06-14,2026-02-24,MISSING,MANUAL_UPLOAD
LN-10082,BR-20447,BUSINESS,2021-04-21,2025-04-21,150000,49500,11.98,48,BR,HOME_IMPROVEMENT,A,4-6,VERY_HIGH,30+ DPD,30,ServicerC,2025-06-16,2026-03-02,AVAILABLE,SERVICING_SYSTEM
LN-10083,BR-23414,BUSINESS,2024-09-21,2027-09-21,1000000,480000,5.91,36,KL,VEHICLE,A,10+,VERY_HIGH,90+ DPD,90,ServicerC,2026-05-11,2026-08-19,MISSING,MANUAL_UPLOAD
LN-10084,BR-23693,HOME,2024-06-28,2029-06-28,500000,430000,15.07,60,KA,HOME_IMPROVEMENT,E,4-6,MEDIUM,CURRENT,0,ServicerC,2025-06-06,2026-08-10,AVAILABLE,ORIGINATION_SYSTEM
LN-10085,BR-22125,BUSINESS,2024-02-29,2025-03-01,1000000,730000,13.45,12,PB,HOME_IMPROVEMENT,E,1-3,HIGH,CURRENT,0,ServicerA,2025-02-01,2026-07-16,AVAILABLE,ORIGINATION_SYSTEM
LN-10086,BR-21017,AUTO,2023-10-28,2024-10-28,750000,75000,13.26,12,MP,DEBT_CONSOLIDATION,D,<1,MEDIUM,30+ DPD,15,ServicerB,2025-10-09,2026-08-06,MISSING,MANUAL_UPLOAD
LN-10087,BR-20031,AUTO,2023-09-19,2033-09-19,50000,26000,12.64,120,HR,DEBT_CONSOLIDATION,D,<1,VERY_HIGH,90+ DPD,90,ServicerA,2025-11-02,2026-04-10,PENDING,ORIGINATION_SYSTEM
LN-10088,BR-23797,AUTO,2020-11-02,2035-11-02,50000,8500,16.96,180,WB,HOME_IMPROVEMENT,E,7-10,MEDIUM,30+ DPD,30,ServicerB,2025-12-03,2026-07-08,MISSING,ORIGINATION_SYSTEM
LN-10089,BR-21728,BUSINESS,2024-09-17,2030-09-17,150000,48000,10.74,72,MP,HOME_IMPROVEMENT,E,1-3,VERY_HIGH,60+ DPD,45,ServicerB,2025-09-12,2026-02-03,AVAILABLE,SERVICING_SYSTEM
LN-10090,BR-21931,HOME,2025-04-08,2045-04-08,100000,14000,15.85,240,MH,EDUCATION,B,10+,VERY_HIGH,90+ DPD,90,ServicerA,2026-06-23,2026-02-09,PENDING,SERVICING_SYSTEM
LN-10091,BR-23899,HOME,2022-07-27,2023-07-27,75000,25500,9.98,12,UP,WORKING_CAPITAL,D,4-6,HIGH,CURRENT,0,ServicerA,2025-01-31,2026-02-09,MISSING,ORIGINATION_SYSTEM
LN-10092,BR-21869,AUTO,2021-11-29,2026-11-29,150000,136500,13.4,60,HR,WORKING_CAPITAL,E,1-3,HIGH,90+ DPD,120,ServicerB,2025-06-17,2026-04-28,PENDING,ORIGINATION_SYSTEM
LN-10093,BR-23064,AUTO,2021-07-16,2025-07-16,200000,106000,5.84,48,AP,DEBT_CONSOLIDATION,B,1-3,HIGH,60+ DPD,45,ServicerC,2026-06-01,2026-06-20,PENDING,SERVICING_SYSTEM
LN-10094,BR-20040,EDUCATION,2018-03-18,2048-03-18,250000,82500,16.83,360,MH,WORKING_CAPITAL,A,1-3,VERY_HIGH,90+ DPD,120,ServicerA,2025-01-28,2026-05-31,MISSING,SERVICING_SYSTEM
LN-10095,BR-21509,AUTO,2024-05-22,2029-05-22,100000,9000,12.13,60,TS,HOME_IMPROVEMENT,B,1-3,LOW,60+ DPD,60,ServicerC,2026-07-15,2026-07-22,PENDING,SERVICING_SYSTEM
LN-10096,BR-20256,BUSINESS,2022-12-17,2027-12-17,200000,90000,16.53,60,TS,VEHICLE,C,7-10,HIGH,30+ DPD,15,ServicerA,2025-09-17,2026-03-30,MISSING,SERVICING_SYSTEM
LN-10097,BR-23651,PERSONAL,2024-09-12,2027-09-12,75000,60750,9.25,36,PB,HOME_IMPROVEMENT,D,1-3,HIGH,CURRENT,0,ServicerB,2026-04-28,2026-06-23,MISSING,ORIGINATION_SYSTEM
LN-10098,BR-21669,AUTO,2023-09-24,2027-09-24,500000,120000,7.49,48,AP,WORKING_CAPITAL,B,<1,MEDIUM,CURRENT,0,ServicerB,2025-07-05,2026-05-01,PENDING,MANUAL_UPLOAD
LN-10099,BR-22056,AUTO,2023-02-07,2038-02-07,200000,154000,8.7,180,AP,HOME_IMPROVEMENT,D,7-10,VERY_HIGH,CURRENT,0,ServicerB,2026-04-08,2026-07-10,PENDING,MANUAL_UPLOAD
LN-10100,BR-23150,HOME,2018-10-13,2023-10-13,150000,97500,12.14,60,UP,VEHICLE,C,1-3,MEDIUM,CURRENT,0,ServicerC,2026-06-29,2026-07-21,AVAILABLE,MANUAL_UPLOAD
LN-10100,BR-22399,AUTO,2025-03-13,2026-03-13,150000,33000,9.53,12,TS,HOME_IMPROVEMENT,A,4-6,LOW,90+ DPD,120,ServicerA,2026-01-19,2026-03-03,PENDING,ORIGINATION_SYSTEM
LN-10100,BR-21099,BUSINESS,2022-04-01,2025-04-01,200000,98000,15.4,36,TS,WORKING_CAPITAL,A,4-6,LOW,CURRENT,0,ServicerC,2025-07-15,2026-06-02,PENDING,ORIGINATION_SYSTEM
LN-10100,BR-22918,BUSINESS,2020-12-19,2027-12-19,75000,21000,7.82,84,DL,VEHICLE,E,1-3,LOW,CURRENT,0,ServicerA,2026-02-04,2026-04-17,AVAILABLE,MANUAL_UPLOAD
LN-10100,BR-20425,EDUCATION,2018-06-11,2020-06-11,100000,84000,15.4,24,WB,DEBT_CONSOLIDATION,B,<1,HIGH,CURRENT,0,ServicerA,2025-12-25,2026-03-31,MISSING,ORIGINATION_SYSTEM
LN-10100,BR-23401,HOME,2019-12-13,2022-12-13,300000,78000,10.48,36,BR,EDUCATION,A,<1,MEDIUM,60+ DPD,45,ServicerC,2025-10-19,2026-02-06,MISSING,MANUAL_UPLOAD
LN-10106,BR-21754,PERSONAL,2023-04-07,2033-04-07,200000,68000,17.84,120,HR,VEHICLE,B,10+,MEDIUM,CURRENT,0,ServicerA,2025-03-05,2026-06-15,MISSING,SERVICING_SYSTEM
LN-10107,BR-23298,HOME,2021-10-24,2041-10-24,75000,3750,17.16,240,MP,DEBT_CONSOLIDATION,D,1-3,LOW,CURRENT,0,ServicerC,2026-06-30,2026-02-01,MISSING,SERVICING_SYSTEM
LN-10108,BR-23788,EDUCATION,2018-10-17,2024-10-17,750000,570000,10.99,72,RJ,WORKING_CAPITAL,D,1-3,VERY_HIGH,30+ DPD,15,ServicerA,2025-10-06,2026-06-11,MISSING,SERVICING_SYSTEM
LN-10109,BR-21369,EDUCATION,2023-04-03,2033-04-03,100000,25000,14.92,120,PB,EDUCATION,A,1-3,LOW,60+ DPD,45,ServicerC,2025-12-04,2026-05-30,AVAILABLE,MANUAL_UPLOAD
LN-10110,BR-22245,PERSONAL,2018-02-25,2021-02-25,150000,138000,16.57,36,MP,WORKING_CAPITAL,C,1-3,MEDIUM,CURRENT,0,ServicerC,2026-06-11,2026-08-17,MISSING,ORIGINATION_SYSTEM
LN-10111,BR-22813,BUSINESS,2024-03-08,2031-03-08,750000,165000,17.81,84,RJ,VEHICLE,B,1-3,LOW,60+ DPD,60,ServicerB,2026-08-17,2026-08-16,AVAILABLE,MANUAL_UPLOAD
LN-10112,BR-23655,BUSINESS,2018-11-07,2048-11-07,50000,35500,5.68,360,TS,EDUCATION,A,7-10,MEDIUM,90+ DPD,90,ServicerC,2025-03-07,2026-03-04,MISSING,ORIGINATION_SYSTEM
LN-10113,BR-21086,EDUCATION,2022-03-23,2028-03-23,750000,577500,7.14,72,TN,HOME_IMPROVEMENT,C,7-10,LOW,60+ DPD,60,ServicerC,2025-12-25,2026-06-24,PENDING,SERVICING_SYSTEM
LN-10114,BR-20228,BUSINESS,2025-02-11,2028-02-11,300000,189000,7.12,36,MH,EDUCATION,C,1-3,HIGH,30+ DPD,30,ServicerA,2025-02-13,2026-06-03,MISSING,ORIGINATION_SYSTEM
LN-10115,BR-23049,HOME,2018-02-02,2024-02-02,100000,13000,12.76,72,PB,EDUCATION,C,7-10,VERY_HIGH,30+ DPD,15,ServicerA,2025-12-19,2026-05-23,PENDING,ORIGINATION_SYSTEM
