loan_id,application_document,income_document,identity_document,document_status
LN-10162,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10163,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10164,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10165,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-10166,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10167,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-10168,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-10169,MISSING,MISSING,MISSING,AVAILABLE
LN-10170,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10171,MISSING,MISSING,MISSING,AVAILABLE
LN-10172,MISSING,AVAILABLE,MISSING,PENDING
LN-10173,MISSING,MISSING,AVAILABLE,PENDING
LN-10174,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-10175,MISSING,MISSING,AVAILABLE,PENDING
LN-10176,MISSING,MISSING,MISSING,MISSING
LN-10177,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10178,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10179,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10180,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10181,AVAILABLE,MISSING,MISSING,PENDING
LN-10182,MISSING,MISSING,AVAILABLE,MISSING
LN-10183,MISSING,MISSING,MISSING,AVAILABLE
LN-10184,MISSING,MISSING,MISSING,MISSING
LN-10185,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10186,MISSING,MISSING,AVAILABLE,MISSING
LN-10187,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-10188,AVAILABLE,MISSING,MISSING,MISSING
LN-10189,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10190,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-10191,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10192,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10193,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10194,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10195,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10196,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10197,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10198,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10199,AVAILABLE,MISSING,MISSING,MISSING
LN-10200,MISSING,MISSING,MISSING,PENDING
LN-10201,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10202,AVAILABLE,MISSING,MISSING,PENDING
LN-10203,MISSING,MISSING,MISSING,AVAILABLE
LN-10204,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-10205,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10206,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10207,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-10208,MISSING,MISSING,MISSING,PENDING
LN-10209,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10210,MISSING,MISSING,MISSING,AVAILABLE
LN-10211,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10212,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-10213,AVAILABLE,MISSING,MISSING,PENDING
LN-10214,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-10215,AVAILABLE,MISSING,MISSING,MISSING
LN-10216,MISSING,MISSING,MISSING,AVAILABLE
LN-10217,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10218,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10219,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10220,MISSING,MISSING,AVAILABLE,MISSING
LN-10221,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10222,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10223,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10224,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-10225,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10226,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10227,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-10228,MISSING,MISSING,AVAILABLE,PENDING
LN-10229,MISSING,MISSING,AVAILABLE,MISSING
LN-10230,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10231,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10232,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-10233,MISSING,AVAILABLE,MISSING,MISSING
LN-10234,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-10235,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10236,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10237,MISSING,AVAILABLE,MISSING,PENDING
LN-10238,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10239,AVAILABLE,MISSING,MISSING,PENDING
LN-10240,AVAILABLE,MISSING,MISSING,PENDING
LN-10241,AVAILABLE,MISSING,MISSING,PENDING
LN-10242,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10243,MISSING,MISSING,AVAILABLE,MISSING
LN-10244,MISSING,AVAILABLE,MISSING,MISSING
LN-10245,MISSING,MISSING,AVAILABLE,MISSING
LN-10246,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10247,MISSING,AVAILABLE,MISSING,PENDING
LN-10248,MISSING,AVAILABLE,MISSING,MISSING
LN-10249,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10250,AVAILABLE,MISSING,MISSING,MISSING
LN-10251,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10252,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10253,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10254,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10255,MISSING,MISSING,AVAILABLE,MISSING
LN-10256,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10257,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10258,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-10259,MISSING,AVAILABLE,MISSING,MISSING
LN-10260,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10261,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10262,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-10263,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10264,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-10265,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10266,MISSING,AVAILABLE,MISSING,MISSING
LN-10267,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10268,AVAILABLE,MISSING,MISSING,MISSING
LN-10269,AVAILABLE,MISSING,MISSING,PENDING
LN-10270,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10271,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10272,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10273,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10274,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10275,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-10276,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10277,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10278,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-10279,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10280,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10281,AVAILABLE,MISSING,MISSING,MISSING
LN-10282,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10283,MISSING,AVAILABLE,MISSING,PENDING
LN-10284,AVAILABLE,MISSING,MISSING,PENDING
LN-10285,AVAILABLE,MISSING,MISSING,PENDING
LN-10286,AVAILABLE,MISSING,MISSING,MISSING
LN-10287,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10288,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10289,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10290,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10291,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10292,AVAILABLE,MISSING,MISSING,PENDING
LN-10293,MISSING,MISSING,MISSING,AVAILABLE
LN-10294,MISSING,AVAILABLE,MISSING,MISSING
LN-10295,AVAILABLE,MISSING,MISSING,PENDING
LN-10296,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10297,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-10298,AVAILABLE,MISSING,MISSING,MISSING
LN-10299,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10300,MISSING,MISSING,MISSING,MISSING
LN-10301,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-10302,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-10303,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10304,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10305,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10306,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10307,MISSING,MISSING,AVAILABLE,PENDING
LN-10308,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10309,MISSING,MISSING,MISSING,PENDING
LN-10310,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10311,MISSING,AVAILABLE,MISSING,MISSING
LN-10312,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10313,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10314,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10315,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-10316,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10317,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10318,MISSING,AVAILABLE,MISSING,PENDING
LN-10319,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10320,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10321,AVAILABLE,MISSING,MISSING,MISSING
LN-10322,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10323,MISSING,MISSING,MISSING,PENDING
LN-10324,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-10325,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-10326,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10327,MISSING,MISSING,MISSING,AVAILABLE
LN-10328,MISSING,AVAILABLE,MISSING,MISSING
LN-10329,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10330,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-10331,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10332,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10333,MISSING,AVAILABLE,MISSING,PENDING
LN-10334,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10335,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-10336,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10337,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-10338,MISSING,MISSING,MISSING,PENDING
LN-10339,MISSING,MISSING,MISSING,MISSING
LN-10340,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10341,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10342,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10343,MISSING,MISSING,MISSING,AVAILABLE
LN-10344,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-10345,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10346,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-10347,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10348,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10349,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10350,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10351,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10352,AVAILABLE,MISSING,MISSING,MISSING
LN-10353,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-10354,AVAILABLE,MISSING,MISSING,PENDING
LN-10355,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10356,MISSING,AVAILABLE,MISSING,MISSING
LN-10357,MISSING,MISSING,AVAILABLE,PENDING
LN-10358,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-10359,MISSING,MISSING,AVAILABLE,MISSING
LN-10360,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10361,MISSING,MISSING,MISSING,AVAILABLE
LN-10362,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10363,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10364,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10365,MISSING,AVAILABLE,MISSING,MISSING
LN-10366,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10367,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-10368,MISSING,MISSING,MISSING,PENDING
LN-10369,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-10370,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-10371,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-10372,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-10373,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-10374,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10375,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10376,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-10377,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10378,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-10379,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10380,MISSING,AVAILABLE,MISSING,PENDING
LN-10381,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10382,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10383,MISSING,MISSING,AVAILABLE,MISSING
LN-10384,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-10385,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-10386,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10387,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10388,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-10389,MISSING,MISSING,MISSING,PENDING
LN-10390,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-10391,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10392,MISSING,MISSING,AVAILABLE,MISSING
LN-10393,AVAILABLE,MISSING,MISSING,MISSING
LN-10394,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10395,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-10396,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10397,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10398,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10399,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10400,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-10401,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-10402,AVAILABLE,MISSING,MISSING,MISSING
LN-10403,MISSING,MISSING,MISSING,AVAILABLE
LN-10404,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10405,MISSING,MISSING,MISSING,AVAILABLE
LN-10406,MISSING,MISSING,AVAILABLE,PENDING
LN-10407,MISSING,MISSING,MISSING,AVAILABLE
LN-10408,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-10409,MISSING,MISSING,MISSING,MISSING
LN-10410,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10411,MISSING,AVAILABLE,MISSING,MISSING
LN-10412,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10413,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-10414,MISSING,MISSING,AVAILABLE,MISSING
LN-10415,MISSING,AVAILABLE,MISSING,MISSING
LN-10416,MISSING,MISSING,AVAILABLE,PENDING
LN-10417,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-10418,AVAILABLE,MISSING,MISSING,MISSING
LN-10419,AVAILABLE,MISSING,MISSING,MISSING
LN-10420,MISSING,MISSING,AVAILABLE,MISSING
LN-10421,MISSING,MISSING,MISSING,MISSING
LN-10422,MISSING,MISSING,AVAILABLE,MISSING
LN-10423,MISSING,MISSING,MISSING,AVAILABLE
LN-10424,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-10425,MISSING,AVAILABLE,MISSING,MISSING
LN-10426,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-10427,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-10428,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10429,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-10430,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10431,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-10432,MISSING,AVAILABLE,MISSING,PENDING
LN-10433,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-10434,MISSING,MISSING,AVAILABLE,MISSING
LN-10435,AVAILABLE,MISSING,MISSING,PENDING
LN-10436,MISSING,MISSING,AVAILABLE,PENDING
LN-10437,MISSING,AVAILABLE,MISSING,MISSING
LN-10438,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-10439,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-10440,AVAILABLE,MISSING,MISSING,MISSING
LN-10441,AVAILABLE,MISSING,MISSING,MISSING
LN-10442,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10443,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-10444,AVAILABLE,AVAILABLE,MISSING,MISSING
